date,code,amount,closeable_amount,avg_cost,acc_avg_cost,price,value,floating_pnl,floating_pnl_pct,cash,positions_value,total_value,daily_positions_value,daily_total_market_value,daily_floating_pnl
2025-02-20 15:00:00,000001.XSHE,8400,0,11.73,11.73,11.66,97944.0,-588.0000000000024,-0.5967604433077645,1438.4400000000023,97944.0,99382.44,97944.0,99382.44,-588.0000000000024
2025-02-21 15:00:00,000001.XSHE,8400,8400,11.73,11.73,11.64,97776.0,-755.9999999999989,-0.7672634271099765,1438.4400000000023,97776.0,99214.44,97776.0,99214.44,-755.9999999999989
2025-02-24 15:00:00,000001.XSHE,8400,8400,11.73,11.73,11.59,97356.0,-1176.0000000000048,-1.1935208866155178,1438.4400000000023,97356.0,98794.44,97356.0,98794.44,-1176.0000000000048
2025-02-25 15:00:00,000001.XSHE,8400,8400,11.73,11.73,11.47,96348.0,-2183.999999999998,-2.2165387894288124,1438.4400000000023,96348.0,97786.44,96348.0,97786.44,-2183.999999999998
2025-02-26 15:00:00,000001.XSHE,8400,8400,11.73,11.73,11.52,96768.0,-1764.0000000000073,-1.7902813299232823,1438.4400000000023,96768.0,98206.44,96768.0,98206.44,-1764.0000000000073
2025-02-27 15:00:00,000001.XSHE,8400,8400,11.73,11.73,11.62,97608.0,-924.0000000000101,-0.9377664109121997,1438.4400000000023,97608.0,99046.44,97608.0,99046.44,-924.0000000000101
2025-02-28 15:00:00,000001.XSHE,8400,8400,11.73,11.73,11.53,96852.0,-1680.0000000000089,-1.7050298380221762,1438.4400000000023,96852.0,98290.44,96852.0,98290.44,-1680.0000000000089
2025-03-03 15:00:00,000001.XSHE,8400,8400,11.73,11.73,11.51,96684.0,-1848.0000000000055,-1.8755328218243883,1438.4400000000023,96684.0,98122.44,96684.0,98122.44,-1848.0000000000055
2025-03-06 15:00:00,000001.XSHE,8200,0,11.64,11.64,11.63,95366.0,-81.99999999999825,-0.0859106529209619,2100.6699999999983,95366.0,97466.67,95366.0,97466.67,-81.99999999999825
2025-03-07 15:00:00,000001.XSHE,8200,8200,11.64,11.64,11.67,95694.0,245.99999999999477,0.2577319587628857,2100.6699999999983,95694.0,97794.67,95694.0,97794.67,245.99999999999477
2025-03-10 15:00:00,000001.XSHE,8200,8200,11.64,11.64,11.59,95038.0,-410.0000000000058,-0.4295532646048206,2100.6699999999983,95038.0,97138.67,95038.0,97138.67,-410.0000000000058
2025-03-11 15:00:00,000001.XSHE,8200,8200,11.64,11.64,11.61,95202.0,-246.00000000000932,-0.2577319587628968,2100.6699999999983,95202.0,97302.67,95202.0,97302.67,-246.00000000000932
2025-03-12 15:00:00,000001.XSHE,8200,8200,11.64,11.64,11.85,97170.0,1721.9999999999925,1.8041237113401998,2100.6699999999983,97170.0,99270.67,97170.0,99270.67,1721.9999999999925
2025-03-13 15:00:00,000001.XSHE,8200,8200,11.64,11.64,11.84,97088.0,1639.999999999994,1.7182130584192379,2100.6699999999983,97088.0,99188.67,97088.0,99188.67,1639.999999999994
2025-03-14 15:00:00,000001.XSHE,8200,8200,11.64,11.64,11.97,98154.0,2706.0000000000005,2.8350515463917425,2100.6699999999983,98154.0,100254.67,98154.0,100254.67,2706.0000000000005
2025-03-17 15:00:00,000001.XSHE,8200,8200,11.64,11.64,11.5,94300.0,-1148.0000000000045,-1.2027491408934776,2100.6699999999983,94300.0,96400.67,94300.0,96400.67,-1148.0000000000045
2025-03-18 15:00:00,000001.XSHE,8200,8200,11.64,11.64,11.49,94218.0,-1230.000000000003,-1.2886597938144395,2100.6699999999983,94218.0,96318.67,94218.0,96318.67,-1230.000000000003
2025-03-19 15:00:00,000001.XSHE,8200,8200,11.64,11.64,11.52,94464.0,-984.0000000000082,-1.0309278350515538,2100.6699999999983,94464.0,96564.67,94464.0,96564.67,-984.0000000000082
2025-03-20 15:00:00,000001.XSHE,8200,8200,11.64,11.64,11.49,94218.0,-1230.000000000003,-1.2886597938144395,2100.6699999999983,94218.0,96318.67,94218.0,96318.67,-1230.000000000003
2025-05-08 15:00:00,000001.XSHE,8500,0,11.04,11.04,11.08,94180.0,340.00000000000784,0.36231884057971175,2409.9300000000076,94180.0,96589.93000000001,94180.0,96589.93000000001,340.00000000000784
2025-05-09 15:00:00,000001.XSHE,8500,8500,11.04,11.04,11.15,94775.0,935.0000000000102,0.9963768115942129,2409.9300000000076,94775.0,97184.93000000001,94775.0,97184.93000000001,935.0000000000102
2025-05-12 15:00:00,000001.XSHE,8500,8500,11.04,11.04,11.16,94860.0,1020.0000000000084,1.0869565217391353,2409.9300000000076,94860.0,97269.93000000001,94860.0,97269.93000000001,1020.0000000000084
